entry_date,exit_date,entry_price,exit_price,bars_held,return_pct
2023-08-18,2023-08-18,14583.89,14656.81,2,0.46
2023-08-21,2023-08-21,14764.65,14838.48,1,0.46
2023-09-08,2023-09-08,15268.28,15344.62,1,0.46
2023-09-21,2023-09-21,14817.39,14765.08,5,-0.393
2023-09-22,2023-09-22,14756.32,14830.1,2,0.46
2023-09-25,2023-09-25,14655.5,14728.78,2,0.46
2023-10-20,2023-10-20,14751.26,14610.21,5,-0.996
2023-10-23,2023-10-23,14517.52,14590.11,2,0.46
2023-10-27,2023-10-27,14248.55,14319.79,2,0.46
2024-01-03,2024-01-03,16415.14,16444.43,5,0.138
2024-01-04,2024-01-04,16290.74,16372.19,2,0.46
2024-01-05,2024-01-05,16288.22,16369.66,1,0.46
2024-02-22,2024-02-22,17857.81,17947.1,4,0.46
2024-04-05,2024-04-05,17939.14,18028.84,1,0.46
2024-04-18,2024-04-18,17516.21,17412.26,5,-0.633
2024-04-19,2024-04-19,17339.78,17071.26,5,-1.588
2024-04-22,2024-04-22,17160.85,17246.66,5,0.46
2024-06-25,2024-06-25,19551.85,19649.61,2,0.46
2024-07-18,2024-07-18,19939.65,19663.96,5,-1.422
2024-07-19,2024-07-19,19683.55,19781.97,1,0.46
2024-07-22,2024-07-22,19749.5,19848.24,5,0.46
2024-07-25,2024-07-25,19045.87,19141.09,3,0.46
2024-07-26,2024-07-26,18978.64,19073.53,3,0.46
2024-08-06,2024-08-06,17971.36,18061.22,1,0.46
2024-09-09,2024-09-09,18582.8,18675.71,1,0.46
2024-11-01,2024-11-01,19957.18,20056.96,1,0.46
2024-11-18,2024-11-18,20437.36,20539.55,1,0.46
2024-12-20,2024-12-20,20943.46,21048.18,1,0.46
2025-01-02,2025-01-02,21117.84,21223.43,1,0.46
2025-01-03,2025-01-03,21100.84,21206.34,1,0.46
2025-01-14,2025-01-14,20906.05,20820.53,5,-0.449
2025-01-15,2025-01-15,21069.52,21174.87,1,0.46
2025-01-28,2025-01-28,21195.67,21301.65,1,0.46
2025-02-24,2025-02-24,21667.4,21505.4,5,-0.787
2025-02-25,2025-02-25,21304.21,21072.13,5,-1.129
2025-02-26,2025-02-26,21163.22,21269.04,1,0.46
2025-02-28,2025-02-28,20517.53,20620.11,1,0.46
2025-05-22,2025-05-22,21103.27,21208.78,1,0.46
2025-05-27,2025-05-27,21208.61,21314.65,1,0.46
2025-08-04,2025-08-04,22981.9,23096.81,1,0.46
2025-08-20,2025-08-20,23343.41,23146.71,5,-0.882
2025-08-21,2025-08-21,23182.76,23122.28,5,-0.301
2025-08-22,2025-08-22,23154.68,23270.45,1,0.46
2025-10-13,2025-10-13,24638.21,24761.4,4,0.46
2025-11-18,2025-11-18,24641.24,24624.04,5,-0.11
2025-11-19,2025-11-19,24519.5,24642.1,1,0.46
2025-11-21,2025-11-21,24157.8,24278.59,3,0.46
2025-12-15,2025-12-15,25354.87,25115.84,5,-0.982
2025-12-16,2025-12-16,25009.63,25134.68,1,0.46
2025-12-18,2025-12-18,25025.62,25150.75,2,0.46
2026-01-02,2026-01-02,25526.39,25220.99,5,-1.236
2026-01-05,2026-01-05,25465.51,25403.01,5,-0.285
2026-01-21,2026-01-21,25043.62,25168.84,1,0.46
2026-02-05,2026-02-05,24615.29,24738.37,1,0.46
2026-02-06,2026-02-06,24652.14,24775.4,1,0.46
2026-03-13,2026-03-13,24650.09,24773.34,1,0.46
2026-03-16,2026-03-16,24641.9,24701.33,5,0.201
2026-06-08,2026-06-08,29470.99,29618.35,2,0.46
