entry_date,exit_date,entry_price,exit_price,bars_held,return_pct
1986-08-04,1986-08-08,142.52,142.29,4,-0.201
1987-03-30,1987-04-02,183.84,187.66,3,2.04
1987-04-14,1987-04-16,179.73,183.74,2,2.196
1987-05-19,1987-05-26,181.46,185.17,4,2.001
1987-06-30,1987-07-02,189.24,190.38,2,0.565
1987-09-04,1987-09-10,204.06,205.16,3,0.501
1987-09-21,1987-09-22,197.26,201.43,1,2.073
1987-10-12,1987-10-16,199.62,183.29,4,-8.222
1988-05-10,1988-05-13,174.32,173.85,3,-0.312
1988-07-21,1988-07-29,182.4,181.16,6,-0.722
1988-08-09,1988-08-17,177.27,172.9,6,-2.501
1989-06-15,1989-06-22,213.09,212.22,5,-0.448
1989-06-29,1989-07-06,206.77,207.67,4,0.395
1989-10-13,1989-10-19,224.66,231.53,4,3.014
1989-10-26,1989-10-31,222.05,222.62,3,0.212
1989-12-12,1989-12-20,217.8,213.24,6,-2.137
1990-01-10,1990-01-16,216.55,211.91,4,-2.182
1990-07-20,1990-08-03,232.44,212.6,10,-8.57
1991-04-30,1991-05-02,263.65,266.52,2,1.044
1991-05-15,1991-05-21,258.11,261.26,4,1.178
1991-06-07,1991-06-14,270.57,267.8,5,-1.063
1991-06-24,1991-06-27,250.88,255.26,3,1.701
1991-09-05,1991-09-11,280.73,279.65,4,-0.425
1991-10-07,1991-10-10,278.89,279.11,3,0.039
1991-10-24,1991-10-29,285.65,290.08,3,1.512
1992-01-21,1992-01-22,328.04,346.32,1,5.53
1992-03-05,1992-03-10,337.52,340.32,3,0.789
1992-03-27,1992-04-06,324.22,324.55,6,0.062
1992-12-14,1992-12-17,349.4,356.85,3,2.088
1993-02-08,1993-02-11,365.73,366.33,3,0.124
1993-02-16,1993-02-24,346.89,350.12,6,0.892
1993-03-19,1993-03-25,351.55,354.38,4,0.762
1993-06-08,1993-06-11,360.74,363.08,3,0.607
1993-06-18,1993-06-24,357.96,357.83,4,-0.078
1993-08-26,1993-08-30,364.67,369.3,2,1.231
1993-11-22,1993-11-23,373.37,381.22,1,2.062
1994-02-04,1994-02-09,397.48,403.91,3,1.577
1994-03-24,1994-04-05,403.92,389.31,7,-3.656
1994-09-23,1994-09-28,390.2,391.97,3,0.413
1994-11-04,1994-11-08,401.46,407.44,2,1.449
1994-11-22,1994-11-28,397.93,403.82,3,1.44
1994-12-08,1994-12-14,386.3,391.65,4,1.344
1995-09-26,1995-09-28,580.77,595.44,2,2.485
1995-11-20,1995-11-24,571.67,578.32,3,1.123
1995-12-18,1995-12-19,548.04,575.01,1,4.879
1996-03-01,1996-03-05,604.76,615.88,2,1.798
1996-04-11,1996-04-15,604.07,611.08,2,1.12
1996-05-29,1996-05-31,677.09,692.39,2,2.219
1996-06-18,1996-06-21,666.07,672.53,3,0.929
1996-07-12,1996-07-17,635.06,631.3,3,-0.632
1996-10-22,1996-10-23,736.64,749.7,1,1.732
1997-02-21,1997-02-25,864.28,882.04,2,2.014
1997-03-18,1997-03-26,827.57,834.38,6,0.783
1997-06-03,1997-06-06,929.81,944.99,3,1.592
1997-08-12,1997-08-14,1090.78,1103.51,2,1.127
1997-08-28,1997-09-02,1070.57,1102.75,2,2.965
1997-10-16,1997-10-21,1099.38,1110.55,3,0.976
1997-10-27,1997-10-31,978.13,1019.62,4,4.2
1998-03-05,1998-03-11,1126.83,1153.87,4,2.359
1998-05-26,1998-05-28,1200.12,1214.83,2,1.185
1998-07-23,1998-07-27,1405.8,1426.37,2,1.423
1998-08-28,1998-08-31,1265.04,1140.34,1,-9.893
1998-10-01,1998-10-07,1273.74,1151.09,4,-9.665
1999-04-14,1999-04-21,2103.63,2105.82,5,0.064
1999-05-25,1999-05-28,1999.04,2089.7,3,4.493
2000-03-15,2000-03-16,4130.01,4353.33,1,5.365
2000-03-30,2000-04-07,4250.19,4291.53,6,0.932
