entry_date,exit_date,entry_price,exit_price,bars_held,return_pct
2023-08-17,2023-08-17,34829.61,34648.79,5,-0.559
2023-08-18,2023-08-18,34368.36,34540.2,3,0.46
2023-08-22,2023-08-22,34494.17,34311.62,5,-0.569
2023-08-23,2023-08-23,34338.59,34510.28,4,0.46
2023-09-22,2023-09-22,34077.08,34011.68,5,-0.232
2023-09-25,2023-09-25,33907.59,33928.37,5,0.021
2024-01-17,2024-01-17,37281.86,37203.81,5,-0.249
2024-01-18,2024-01-18,37300.81,37404.75,5,0.239
2024-03-06,2024-03-06,38721.15,38662.27,5,-0.192
2024-04-05,2024-04-05,38664.98,38858.31,2,0.46
2024-04-11,2024-04-11,38523.26,38565.15,5,0.069
2024-04-12,2024-04-12,38319.14,37967.34,5,-0.958
2024-04-15,2024-04-15,38075.38,38265.76,1,0.46
2024-04-16,2024-04-16,37992.22,37751.42,5,-0.674
2024-05-24,2024-05-24,39089.23,39093.26,5,-0.03
2024-05-28,2024-05-28,39028.99,38755.97,5,-0.739
2024-05-29,2024-05-29,38716.28,38470.51,5,-0.675
2024-05-30,2024-05-30,38368.35,38147.55,5,-0.615
2024-05-31,2024-05-31,38140.26,38330.96,5,0.46
2024-06-17,2024-06-17,38565.18,38758.01,5,0.46
2024-07-25,2024-07-25,39828.63,40027.77,1,0.46
2024-08-05,2024-08-05,38633.29,38826.46,1,0.46
2024-08-06,2024-08-06,38736.22,38929.9,1,0.46
2024-09-09,2024-09-09,40555.11,40757.88,1,0.46
2024-10-24,2024-10-24,42522.55,42346.36,5,-0.454
2024-10-25,2024-10-25,42477.51,42162.17,5,-0.782
2024-10-28,2024-10-28,42264.54,42475.86,2,0.46
2024-11-01,2024-11-01,41869.82,42079.17,1,0.46
2024-11-19,2024-11-19,43243.27,43279.78,5,0.044
2024-11-20,2024-11-20,43296.05,43171.61,5,-0.327
2024-12-11,2024-12-11,44300.41,44239.46,5,-0.178
2024-12-12,2024-12-12,44168.66,43923.01,5,-0.596
2024-12-13,2024-12-13,43929.15,43833.4,5,-0.258
2024-12-16,2024-12-16,43825.76,43805.88,5,-0.085
2024-12-17,2024-12-17,43656.47,43371.19,5,-0.693
2024-12-18,2024-12-18,43459.72,43677.02,2,0.46
2024-12-19,2024-12-19,42464.13,42676.45,1,0.46
2024-12-20,2024-12-20,42296.26,42507.74,1,0.46
2025-01-03,2025-01-03,42495.76,42708.24,4,0.46
2025-01-13,2025-01-13,41924.68,42134.3,1,0.46
2025-02-24,2025-02-24,43493.12,43622.54,5,0.257
2025-02-25,2025-02-25,43509.74,43727.29,1,0.46
2025-08-01,2025-08-01,43781.77,43554.96,5,-0.558
2025-08-04,2025-08-04,43724.02,43942.64,1,0.46
2025-09-26,2025-09-26,46101.45,46331.96,1,0.46
2025-10-10,2025-10-10,46394.88,46626.85,1,0.46
2025-10-13,2025-10-13,45698.46,45926.95,1,0.46
2025-11-05,2025-11-05,47097.31,47332.8,3,0.46
2025-11-18,2025-11-18,46382.92,46240.8,5,-0.346
2025-11-19,2025-11-19,46138.68,45946.92,5,-0.455
2025-11-21,2025-11-21,45808.65,46037.69,1,0.46
2026-01-02,2026-01-02,48105.98,48329.95,5,0.425
2026-01-21,2026-01-21,48546.03,48788.76,1,0.46
2026-03-04,2026-03-04,48589.77,48832.72,1,0.46
2026-03-09,2026-03-09,47371.28,47131.76,5,-0.545
2026-03-13,2026-03-13,46689.24,46922.68,1,0.46
2026-03-16,2026-03-16,46707.4,46940.94,1,0.46
2026-04-30,2026-04-30,48762.93,49006.74,1,0.46
2026-06-11,2026-06-11,49972.07,50221.93,1,0.46
