entry_date,exit_date,entry_price,exit_price,bars_held,return_pct
1993-02-16,1993-02-22,3309.5,3342.99,4,0.972
1993-04-02,1993-04-07,3370.81,3397.02,3,0.737
1993-04-23,1993-04-29,3413.77,3425.12,4,0.292
1993-06-08,1993-06-14,3510.54,3514.69,4,0.078
1993-07-06,1993-07-08,3449.93,3514.42,2,1.829
1993-09-21,1993-09-27,3537.24,3567.7,4,0.821
1994-03-01,1994-03-02,3809.23,3831.74,1,0.551
1994-03-25,1994-04-05,3774.73,3675.41,6,-2.67
1994-09-23,1994-09-26,3831.75,3849.24,1,0.416
1994-10-26,1994-10-27,3848.23,3875.15,1,0.659
1995-01-24,1995-01-25,3862.7,3871.45,1,0.186
1995-01-30,1995-02-02,3832.08,3870.77,3,0.969
1995-05-18,1995-05-22,4340.64,4395.63,2,1.226
1995-08-10,1995-08-14,4643.66,4659.86,2,0.309
1996-01-10,1996-01-16,5032.94,5088.22,4,1.058
1996-02-20,1996-02-22,5458.53,5608.46,2,2.706
1996-04-10,1996-04-12,5485.98,5532.59,2,0.809
1996-05-03,1996-05-08,5478.03,5474.06,3,-0.112
1996-07-08,1996-07-18,5550.83,5464.18,8,-1.6
1996-08-30,1996-09-04,5616.21,5656.9,2,0.684
1997-01-27,1997-01-29,6660.69,6740.74,2,1.161
1997-03-31,1997-04-07,6583.48,6555.9,5,-0.459
1997-08-15,1997-08-19,7694.7,7918.1,2,2.862
1997-08-28,1997-09-02,7694.4,7879.8,2,2.369
1997-10-17,1997-10-21,7847.0,8060.4,2,2.678
1997-12-11,1997-12-16,7849.0,7976.3,3,1.581
1998-04-27,1998-04-30,8917.64,9063.37,3,1.594
1998-07-23,1998-07-30,8932.98,9026.95,5,1.012
1998-08-04,1998-08-10,8487.31,8574.85,4,0.991
1998-12-03,1998-12-07,8879.68,9070.47,2,2.108
1999-01-14,1999-01-19,9120.93,9355.22,2,2.528
1999-02-09,1999-02-11,9133.03,9363.46,2,2.482
1999-05-24,1999-06-01,10654.67,10596.26,5,-0.588
1999-06-24,1999-06-28,10534.83,10655.15,2,1.102
1999-07-23,1999-07-27,10910.96,10979.04,2,0.584
1999-08-31,1999-09-03,10829.28,11078.45,3,2.26
1999-09-15,1999-09-20,10801.42,10823.9,3,0.168
1999-09-23,1999-09-30,10318.59,10336.95,5,0.138
2000-01-04,2000-01-06,10997.93,11253.26,2,2.281
2000-01-24,2000-02-01,11008.17,11041.05,6,0.259
2000-09-15,2000-09-22,10927.0,10847.37,5,-0.768
2001-06-14,2001-06-20,10690.13,10647.33,4,-0.44
2002-03-25,2002-03-27,10281.67,10426.91,2,1.372
2002-04-03,2002-04-10,10198.29,10381.73,5,1.758
2003-11-18,2003-11-24,9624.16,9747.79,4,1.244
2004-02-24,2004-03-01,10566.37,10678.14,4,1.017
2004-03-09,2004-03-17,10456.96,10300.3,6,-1.538
2004-05-07,2004-05-21,10117.34,9966.74,10,-1.528
2005-01-04,2005-01-10,10630.78,10621.03,4,-0.132
2005-03-21,2005-03-28,10565.39,10485.65,4,-0.794
2006-01-18,2006-01-26,10854.86,10809.47,6,-0.458
2006-05-18,2006-05-25,11128.29,11211.05,5,0.703
2006-08-09,2006-08-15,11076.18,11230.26,4,1.351
2006-11-01,2006-11-06,12031.02,12105.55,3,0.579
2006-11-27,2006-11-29,12121.71,12226.73,2,0.826
2007-01-22,2007-01-24,12477.16,12621.77,2,1.119
2007-02-09,2007-02-13,12580.83,12654.85,2,0.548
2007-02-26,2007-03-06,12632.26,12207.59,6,-3.4
2007-06-07,2007-06-13,13266.73,13482.35,4,1.585
2007-08-15,2007-08-17,12861.47,13079.08,2,1.651
2007-10-19,2007-10-24,13522.02,13675.25,3,1.093
2009-09-01,2009-09-04,9310.6,9441.27,3,1.363
2010-01-22,2010-02-01,10172.98,10185.53,6,0.083
2010-05-06,2010-05-10,10520.32,10785.14,2,2.476
2010-11-12,2010-11-18,11192.58,11181.23,4,-0.141
2011-03-16,2011-03-18,11613.3,11858.52,2,2.071
2011-04-12,2011-04-15,12263.58,12341.83,3,0.598
2011-05-05,2011-05-10,12584.17,12760.36,3,1.36
2011-06-07,2011-06-09,12070.81,12124.36,2,0.403
2011-07-27,2011-08-08,12302.55,10809.85,8,-12.168
2012-03-06,2012-03-08,12759.15,12907.94,2,1.126
2012-03-22,2012-03-26,13046.14,13241.63,2,1.458
2012-04-09,2012-04-12,12929.59,12986.58,3,0.401
2012-05-07,2012-05-21,13008.53,12504.48,10,-3.913
2012-07-11,2012-07-13,12604.53,12777.09,2,1.328
2012-08-23,2012-08-31,13057.46,13090.84,6,0.216
2012-09-25,2012-10-01,13457.55,13515.11,4,0.388
2012-10-11,2012-10-15,13326.39,13424.23,2,0.694
2012-10-23,2012-11-01,13102.53,13232.62,5,0.952
2013-08-15,2013-08-23,15112.19,15010.51,6,-0.713
2013-09-25,2013-10-09,15273.26,14802.98,10,-3.118
2013-12-03,2013-12-06,15914.62,16020.2,3,0.623
2014-01-13,2014-01-15,16257.94,16481.94,2,1.337
2014-01-23,2014-01-30,16197.35,15848.61,5,-2.192
2014-03-13,2014-03-17,16108.89,16247.22,2,0.818
2014-07-31,2014-08-08,16563.3,16553.93,6,-0.097
2014-12-10,2014-12-17,17533.15,17356.87,5,-1.045
2015-01-05,2015-01-08,17501.65,17907.87,3,2.28
2015-05-26,2015-06-03,18041.54,18076.27,6,0.152
2016-06-14,2016-06-16,17674.82,17733.1,2,0.29
2016-08-01,2016-08-05,18404.51,18543.53,4,0.715
2016-08-26,2016-08-29,18395.4,18502.99,1,0.545
2016-09-09,2016-09-15,18085.45,18212.48,4,0.662
2016-11-01,2016-11-07,18037.1,18259.6,4,1.193
2016-12-30,2017-01-03,19762.6,19881.76,1,0.563
2017-01-19,2017-01-20,19732.4,19827.25,1,0.44
2017-03-21,2017-03-28,20668.01,20701.5,5,0.122
2017-04-12,2017-04-17,20591.86,20636.92,2,0.179
2017-05-12,2017-05-15,20896.61,20981.94,1,0.368
2017-08-10,2017-08-14,21844.01,21993.71,2,0.645
2017-11-15,2017-11-16,23271.28,23458.36,1,0.764
2018-02-05,2018-02-12,24345.75,24601.27,5,1.009
2018-03-22,2018-03-29,23957.89,24103.11,5,0.566
2018-04-24,2018-04-26,24024.13,24322.34,2,1.201
2018-05-29,2018-06-01,24361.45,24635.21,3,1.083
2018-06-18,2018-06-29,24987.47,24271.41,9,-2.905
2018-08-13,2018-08-16,25187.7,25558.73,3,1.432
2018-10-10,2018-10-16,25598.74,25798.42,4,0.74
2019-03-07,2019-03-11,25473.23,25650.88,2,0.657
2019-05-09,2019-05-16,25828.36,25862.68,5,0.093
2019-07-31,2019-08-08,26864.27,26378.19,6,-1.849
2019-10-02,2019-10-04,26078.62,26573.72,2,1.858
2019-12-03,2019-12-06,27502.81,28015.06,3,1.822
2020-01-27,2020-01-30,28535.8,28859.44,3,1.094
2020-02-24,2020-02-28,27960.8,25409.36,4,-9.161
2020-09-21,2020-09-25,27147.7,27173.96,4,0.057
2020-10-27,2020-11-02,27463.19,26925.05,4,-1.999
2021-01-27,2021-02-02,30303.17,30687.48,4,1.228
2021-06-15,2021-06-21,34299.33,33876.97,4,-1.271
2021-07-19,2021-07-21,33962.04,34798.0,2,2.42
2021-09-09,2021-09-15,34879.38,34814.39,4,-0.226
2021-09-20,2021-09-23,33970.47,34764.82,3,2.297
2021-11-19,2021-11-23,35601.98,35813.8,2,0.555
2022-01-18,2022-01-28,35368.47,34725.47,8,-1.857
2022-12-19,2022-12-21,32757.54,33376.48,2,1.849
2023-04-26,2023-04-27,33301.87,33826.16,1,1.534
2023-05-24,2023-05-26,32799.92,33093.34,2,0.854
2023-06-26,2023-06-27,33714.71,33926.74,1,0.589
2023-08-17,2023-08-23,34474.83,34472.98,4,-0.045
2023-09-21,2023-10-05,34070.42,33119.57,10,-2.83
2024-04-04,2024-04-09,38596.98,38883.67,3,0.702
2024-04-12,2024-04-19,37983.24,37986.4,5,-0.032
2024-05-23,2024-05-31,39065.26,38686.32,5,-1.01
2024-08-05,2024-08-08,38703.27,39446.49,3,1.88
2024-10-24,2024-11-05,42374.36,42221.88,8,-0.4
2024-11-19,2024-11-21,43268.94,43870.35,2,1.349
2024-12-11,2024-12-23,44148.56,42906.95,8,-2.851
2025-02-21,2025-02-28,43428.02,43840.91,5,0.91
2025-07-31,2025-08-05,44130.98,44111.74,3,-0.084
2025-10-10,2025-10-14,45479.6,46270.46,2,1.698
2025-11-18,2025-11-21,46091.74,46245.41,3,0.293
2026-03-12,2026-03-17,46677.85,46993.26,3,0.635
2026-04-29,2026-04-30,48861.81,49652.14,1,1.577
